sid,grp,cnd,range,pc1,pc2,pc3,pc4,lrn1,lrn2,lrn3,lrn4
208,1,1,6,0.93333333,0.60000000,0.53333333,0.53333333,3.00000000,3.00000000,8.00000000,7.00000000
209,1,1,3,0.73333333,0.80000000,0.60000000,0.60000000,8.00000000,7.00000000,9.00000000,8.00000000
210,1,0,5,0.86666667,0.80000000,0.53333333,0.53333333,1.00000000,7.00000000,10.00000000,10.00000000
211,1,1,4,0.73333333,0.66666667,0.53333333,0.46666667,10.00000000,2.00000000,5.00000000,7.00000000
212,1,0,9,0.86666667,0.46666667,0.53333333,0.26666667,4.00000000,10.00000000,10.00000000,10.00000000
213,1,1,3,0.73333333,0.60000000,0.53333333,0.60000000,8.00000000,8.00000000,10.00000000,9.00000000
214,1,1,9,0.40000000,1.00000000,0.46666667,0.46666667,3.00000000,3.00000000,10.00000000,6.00000000
215,1,0,5,0.86666667,0.60000000,0.53333333,0.60000000,7.00000000,7.00000000,7.00000000,7.00000000
216,1,0,4,0.80000000,0.53333333,0.53333333,0.60000000,6.00000000,9.00000000,9.00000000,9.00000000
217,1,0,10,0.26666667,0.93333333,0.60000000,0.46666667,8.00000000,8.00000000,3.00000000,8.00000000
218,1,0,5,0.80000000,0.46666667,0.66666667,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
219,1,0,7,0.93333333,0.53333333,0.93333333,0.46666667,3.00000000,10.00000000,3.00000000,10.00000000
220,1,0,2,0.80000000,0.80000000,0.73333333,0.66666667,3.00000000,3.00000000,3.00000000,7.00000000
221,1,0,7,0.60000000,0.66666667,0.20000000,0.46666667,9.00000000,9.00000000,10.00000000,9.00000000
222,1,1,3,0.93333333,0.73333333,0.73333333,0.73333333,2.00000000,3.00000000,7.00000000,10.00000000
223,1,1,6,0.53333333,0.93333333,0.53333333,0.73333333,9.00000000,1.00000000,1.00000000,7.00000000
224,1,1,9,0.86666667,0.80000000,0.26666667,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
225,1,0,2,0.80000000,0.73333333,0.66666667,0.73333333,3.00000000,3.00000000,3.00000000,3.00000000
226,1,1,2,0.86666667,0.86666667,0.73333333,0.73333333,7.00000000,9.00000000,9.00000000,10.00000000
227,1,0,5,0.86666667,0.86666667,0.53333333,0.73333333,2.00000000,2.00000000,2.00000000,2.00000000
228,1,1,5,0.86666667,0.60000000,0.73333333,0.53333333,3.00000000,9.00000000,3.00000000,7.00000000
229,1,1,6,0.73333333,0.40000000,0.60000000,0.33333333,10.00000000,10.00000000,10.00000000,10.00000000
230,1,1,5,0.80000000,0.86666667,0.73333333,0.53333333,5.00000000,5.00000000,5.00000000,10.00000000
231,1,0,6,0.73333333,0.80000000,0.66666667,0.40000000,5.00000000,9.00000000,8.00000000,10.00000000
232,1,0,8,0.80000000,0.53333333,0.80000000,0.26666667,10.00000000,10.00000000,10.00000000,5.00000000
233,1,1,6,0.73333333,0.86666667,0.46666667,0.46666667,1.00000000,1.00000000,10.00000000,10.00000000
234,1,1,6,0.86666667,0.86666667,0.73333333,0.46666667,3.00000000,3.00000000,10.00000000,10.00000000
235,1,0,3,0.80000000,0.80000000,0.60000000,0.60000000,9.00000000,9.00000000,8.00000000,8.00000000
236,1,0,3,0.66666667,0.46666667,0.60000000,0.46666667,1.00000000,10.00000000,10.00000000,10.00000000
237,1,0,10,0.86666667,0.60000000,0.86666667,0.20000000,6.00000000,10.00000000,10.00000000,10.00000000
238,1,0,2,0.60000000,0.46666667,0.60000000,0.53333333,2.00000000,9.00000000,1.00000000,9.00000000
239,1,0,2,0.66666667,0.73333333,0.60000000,0.60000000,1.00000000,3.00000000,10.00000000,10.00000000
240,1,0,7,0.66666667,1.00000000,0.53333333,0.66666667,3.00000000,2.00000000,6.00000000,8.00000000
241,1,1,10,0.93333333,0.86666667,0.73333333,0.26666667,6.00000000,6.00000000,6.00000000,10.00000000
242,1,1,4,0.73333333,0.53333333,0.66666667,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
243,1,1,9,0.86666667,0.73333333,0.26666667,0.26666667,5.00000000,5.00000000,9.00000000,9.00000000
