sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2
167,S,i-,Bear,2_I1D,4,0.4931506849315068,0.6,0.4666666666666667,0.0,0.23548387096774193,0.232,1,58.0,10,6,6,8,9,10,8,1.8214285714285712,-2.178571428571429,-2.178571428571429,-0.17857142857142883,0.8214285714285712,1.8214285714285712,-0.17857142857142883
167,S,i-,Bunny,3_2D,1,0.5614035087719298,0.6666666666666666,0.6666666666666666,0.0,0.36774193548387096,0.396,3,33.0,10,6,6,7,10,9,9,1.8214285714285712,-2.178571428571429,-2.178571428571429,-1.1785714285714288,1.8214285714285712,0.8214285714285712,0.8214285714285712
167,S,i-,Green,4_R,2,0.5227272727272727,0.4666666666666667,0.6,0.1333333333333333,0.14193548387096774,0.116,1,29.0,10,6,6,9,7,8,10,1.8214285714285712,-2.178571428571429,-2.178571428571429,0.8214285714285712,-1.1785714285714288,-0.17857142857142883,1.8214285714285712
168,S,i-,Bunny,1_1D,4,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.0,0.11612903225806452,0.084,1,21.0,3,5,1,2,9,10,5,-3.428571428571429,-1.4285714285714288,-5.428571428571429,-4.428571428571429,2.571428571428571,3.571428571428571,-1.4285714285714288
168,S,i-,Squid,2_I1D,3,0.7777777777777778,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.08709677419354839,0.048,1,12.0,4,5,2,3,9,10,5,-2.428571428571429,-1.4285714285714288,-4.428571428571429,-3.428571428571429,2.571428571428571,3.571428571428571,-1.4285714285714288
168,S,i-,Bear,3_2D,1,0.5542168674698795,0.6,0.6,0.0,0.535483870967742,0.604,2,75.5,7,8,10,9,3,3,9,0.5714285714285712,1.5714285714285712,3.571428571428571,2.571428571428571,-3.428571428571429,-3.428571428571429,2.571428571428571
168,S,i-,Green,4_R,2,0.49382716049382713,0.3333333333333333,0.6,0.26666666666666666,0.26129032258064516,0.264,2,33.0,9,9,8,8,8,7,9,2.571428571428571,2.571428571428571,1.5714285714285712,1.5714285714285712,1.5714285714285712,0.5714285714285712,2.571428571428571
169,S,i+,Bear,1_1D,1,0.9285714285714286,0.8666666666666667,1.0,0.1333333333333333,0.09032258064516129,0.052,1,13.0,3,3,1,1,10,10,2,-2.8571428571428568,-2.8571428571428568,-4.857142857142857,-4.857142857142857,4.142857142857143,4.142857142857143,-3.8571428571428568
169,S,i+,Bunny,2_I1D,2,0.90625,0.8,1.0,0.19999999999999996,0.1032258064516129,0.068,1,17.0,5,3,4,4,8,8,2,-0.8571428571428568,-2.8571428571428568,-1.8571428571428568,-1.8571428571428568,2.1428571428571432,2.1428571428571432,-3.8571428571428568
169,S,i+,Green,3_2D,3,0.5942028985507246,0.7333333333333333,0.6,0.0,0.44516129032258067,0.492,2,61.5,10,8,8,9,5,5,6,4.142857142857143,2.1428571428571432,2.1428571428571432,3.1428571428571432,-0.8571428571428568,-0.8571428571428568,0.14285714285714324
169,S,i+,Squid,4_R,4,0.5357142857142857,0.4666666666666667,0.4666666666666667,0.0,0.36129032258064514,0.388,3,32.333333333333336,10,9,10,9,3,2,6,4.142857142857143,3.1428571428571432,4.142857142857143,3.1428571428571432,-2.8571428571428568,-3.8571428571428568,0.14285714285714324
170,S,i-,Bear,1_1D,2,0.5398230088495575,0.5333333333333333,0.6,0.06666666666666665,0.36451612903225805,0.392,3,32.666666666666664,9,10,9,10,10,10,10,-0.5714285714285712,0.4285714285714288,-0.5714285714285712,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288
170,S,i-,Bunny,2_I1D,1,0.47692307692307695,0.4666666666666667,0.4666666666666667,0.0,0.20967741935483872,0.2,3,16.666666666666668,9,8,10,10,10,10,10,-0.5714285714285712,-1.5714285714285712,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288
170,S,i-,Squid,3_2D,3,0.48333333333333334,0.3333333333333333,0.4,0.06666666666666671,0.1935483870967742,0.18,1,45.0,9,9,7,10,10,10,10,-0.5714285714285712,-0.5714285714285712,-2.571428571428571,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288
170,S,i-,Green,4_R,4,0.5416666666666666,0.8,0.5333333333333333,0.0,0.23225806451612904,0.228,2,28.5,9,9,10,10,10,10,10,-0.5714285714285712,-0.5714285714285712,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288,0.4285714285714288
171,S,i+,Green,1_1D,1,0.7674418604651163,0.7333333333333333,0.8666666666666667,0.13333333333333341,0.13870967741935483,0.112,1,28.0,2,8,2,1,10,10,1,-4.285714285714286,1.7142857142857144,-4.285714285714286,-5.285714285714286,3.7142857142857144,3.7142857142857144,-5.285714285714286
171,S,i+,Squid,2_I1D,2,0.975609756097561,0.9333333333333333,1.0,0.06666666666666665,0.13225806451612904,0.104,1,26.0,3,8,1,1,10,10,1,-3.2857142857142856,1.7142857142857144,-5.285714285714286,-5.285714285714286,3.7142857142857144,3.7142857142857144,-5.285714285714286
171,S,i+,Bear,3_2D,4,0.6935483870967742,0.5333333333333333,0.7333333333333333,0.19999999999999996,0.4,0.436,1,109.0,8,9,9,9,5,5,9,1.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,-1.2857142857142856,-1.2857142857142856,2.7142857142857144
171,S,i+,Bunny,4_R,3,0.4803921568627451,0.3333333333333333,0.7333333333333333,0.39999999999999997,0.32903225806451614,0.348,2,43.5,8,9,10,10,4,3,10,1.7142857142857144,2.7142857142857144,3.7142857142857144,3.7142857142857144,-2.2857142857142856,-3.2857142857142856,3.7142857142857144
172,S,i+,Squid,1_1D,1,0.9,0.8,0.9333333333333333,0.1333333333333333,0.12903225806451613,0.1,2,12.5,8,10,1,1,10,10,1,1.5,3.5,-5.5,-5.5,3.5,3.5,-5.5
172,S,i+,Bear,2_I1D,4,0.7142857142857143,0.4666666666666667,0.9333333333333333,0.4666666666666667,0.11290322580645161,0.08,2,10.0,8,10,1,4,7,10,1,1.5,3.5,-5.5,-2.5,0.5,3.5,-5.5
172,S,i+,Bunny,3_2D,3,0.782608695652174,0.6666666666666666,0.7333333333333333,0.06666666666666665,0.14838709677419354,0.124,2,15.5,8,10,5,6,7,6,5,1.5,3.5,-1.5,-0.5,0.5,-0.5,-1.5
172,S,i+,Green,4_R,2,0.4973544973544973,0.6666666666666666,0.4,0.0,0.6096774193548387,0.696,2,87.0,8,10,10,10,2,3,10,1.5,3.5,3.5,3.5,-4.5,-3.5,3.5
173,S,i-,Bear,1_1D,3,0.8571428571428571,0.8,0.8666666666666667,0.06666666666666665,0.11290322580645161,0.08,1,20.0,10,10,7,5,10,9,3,3.321428571428571,3.321428571428571,0.3214285714285712,-1.6785714285714288,3.321428571428571,2.321428571428571,-3.678571428571429
173,S,i-,Bunny,2_I1D,4,0.6458333333333334,0.3333333333333333,0.9333333333333333,0.6000000000000001,0.15483870967741936,0.132,1,33.0,10,10,1,1,10,10,1,3.321428571428571,3.321428571428571,-5.678571428571429,-5.678571428571429,3.321428571428571,3.321428571428571,-5.678571428571429
173,S,i-,Green,3_2D,1,0.6888888888888889,0.4666666666666667,0.8666666666666667,0.4,0.14516129032258066,0.12,1,30.0,10,10,2,4,10,8,3,3.321428571428571,3.321428571428571,-4.678571428571429,-2.678571428571429,3.321428571428571,1.3214285714285712,-3.678571428571429
173,S,i-,Squid,4_R,2,0.41208791208791207,0.5333333333333333,0.2,0.0,0.5870967741935483,0.668,1,167.0,10,1,10,10,1,1,10,3.321428571428571,-5.678571428571429,3.321428571428571,3.321428571428571,-5.678571428571429,-5.678571428571429,3.321428571428571
174,S,i+,Bear,1_1D,2,0.8888888888888888,0.9333333333333333,0.9333333333333333,0.0,0.17419354838709677,0.156,1,39.0,2,4,2,3,10,10,1,-3.7142857142857144,-1.7142857142857144,-3.7142857142857144,-2.7142857142857144,4.285714285714286,4.285714285714286,-4.714285714285714
174,S,i+,Squid,2_I1D,3,0.9069767441860465,0.7333333333333333,1.0,0.2666666666666667,0.13870967741935483,0.112,1,28.0,6,4,3,3,10,10,1,0.2857142857142856,-1.7142857142857144,-2.7142857142857144,-2.7142857142857144,4.285714285714286,4.285714285714286,-4.714285714285714
174,S,i+,Green,3_2D,1,0.5844155844155844,0.6,0.6,0.0,0.24838709677419354,0.248,1,62.0,8,8,8,8,4,3,5,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.2857142857142856,-1.7142857142857144,-2.7142857142857144,-0.7142857142857144
