"","form","nvars","sing","loglik","mfR2","accuracy","AIC","BIC","xtime"
"524173","nxt ~ currentd + tord + pct + pcr + pc + pval + sc + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.1"
"524174","nxt ~ currentd + tord + pct + pcr + pc + pval + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","FALSE","-2210.37122025438","0.246976638565696","0.455487517663683","4472.74244050876","4619.91766251304","0.958"
"524175","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + trial","17","TRUE",NA,NA,NA,NA,NA,"0.105"
"524176","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | grp + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.101"
"524177","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule + lrn2 | trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.064"
"524178","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + rule | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.066"
"524179","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + prog + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.063"
"524180","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + time + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.105"
"524181","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + comp + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.098"
"524182","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + int + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.063"
"524183","nxt ~ currentd + tord + pct + pcr + pc + relt + sc + scsq + lrn + comp + time + prog + rule + lrn2 | grp + trial + blkt","17","TRUE",NA,NA,NA,NA,NA,"0.316"
